Periodo,year,month,Mes,IT_,PO_,RM_,Entidad,orden
01/01/2010,2010,1,enero,-0.031030215,-0.014057378,-0.007524823,Nacional,1
01/02/2010,2010,2,febrero,-0.015806131,-0.012712412,0.027251238,Nacional,1
01/03/2010,2010,3,marzo,-0.016276284,-0.015152655,0.058226055,Nacional,1
01/04/2010,2010,4,abril,-0.005646413,-0.017307581,0.024001782,Nacional,1
01/05/2010,2010,5,mayo,0.016081061,-0.009001917,0.02128641,Nacional,1
01/06/2010,2010,6,junio,0.00238546,-0.012236269,0.046993504,Nacional,1
01/07/2010,2010,7,julio,0.005655475,-0.014127421,0.038575916,Nacional,1
01/08/2010,2010,8,agosto,0.016637401,-0.012945739,0.057095081,Nacional,1
01/09/2010,2010,9,septiembre,0.011717029,-0.009715687,0.036313872,Nacional,1
01/10/2010,2010,10,octubre,0.011563655,-0.007373094,0.0260729,Nacional,1
01/11/2010,2010,11,noviembre,-0.005987007,-0.001801705,0.021290995,Nacional,1
01/12/2010,2010,12,diciembre,0.0037535,-0.008744558,0.03486743,Nacional,1
01/01/2011,2011,1,enero,0.028143093,-0.003411136,0.025296368,Nacional,1
01/02/2011,2011,2,febrero,-0.005128039,-0.003250174,0.008711879,Nacional,1
01/03/2011,2011,3,marzo,-0.001039312,-7.66698E-05,0.016297877,Nacional,1
01/04/2011,2011,4,abril,0.016186087,0.001995444,0.023317036,Nacional,1
01/05/2011,2011,5,mayo,0.011260439,-0.003303815,0.035289902,Nacional,1
01/06/2011,2011,6,junio,0.016171389,0.002438697,0.041925544,Nacional,1
01/07/2011,2011,7,julio,-0.002012887,0.009955954,0.022334847,Nacional,1
01/08/2011,2011,8,agosto,0.004729546,0.009357581,-0.007423531,Nacional,1
01/09/2011,2011,9,septiembre,0.023045412,0.007943001,0.02731107,Nacional,1
01/10/2011,2011,10,octubre,0.020695162,0.010486114,0.001537502,Nacional,1
01/11/2011,2011,11,noviembre,0.056578179,0.007374496,0.018924318,Nacional,1
01/12/2011,2011,12,diciembre,0.032519727,0.007683117,0.009093274,Nacional,1
01/01/2012,2012,1,enero,0.021996784,0.016055475,0.006581558,Nacional,1
01/02/2012,2012,2,febrero,0.091015142,0.013589407,0.02687178,Nacional,1
01/03/2012,2012,3,marzo,0.057417541,0.012665559,0.019742384,Nacional,1
01/04/2012,2012,4,abril,0.03332789,0.007009695,0.00055446,Nacional,1
01/05/2012,2012,5,mayo,0.048025436,0.012358144,0.013836489,Nacional,1
01/06/2012,2012,6,junio,0.046641925,0.006758739,-0.004152368,Nacional,1
01/07/2012,2012,7,julio,0.041474494,0.004040355,-0.005761497,Nacional,1
01/08/2012,2012,8,agosto,0.050571059,0.004601215,0.025675172,Nacional,1
01/09/2012,2012,9,septiembre,0.041830733,-0.000703034,0.005697878,Nacional,1
01/10/2012,2012,10,octubre,0.049778501,0.001841706,0.023662076,Nacional,1
01/11/2012,2012,11,noviembre,0.055067012,0.003288154,0.027456609,Nacional,1
01/12/2012,2012,12,diciembre,-0.02039613,0.003563504,0.034698448,Nacional,1
01/01/2013,2013,1,enero,0.023858024,0.004679907,0.051794339,Nacional,1
01/02/2013,2013,2,febrero,-0.015234649,0.006045913,0.001872867,Nacional,1
01/03/2013,2013,3,marzo,-0.015481331,0.007592225,-0.030736267,Nacional,1
01/04/2013,2013,4,abril,0.026254907,0.002999054,-0.00226181,Nacional,1
01/05/2013,2013,5,mayo,0.009315177,0.001646047,-0.032096904,Nacional,1
01/06/2013,2013,6,junio,0.001185397,-0.005725936,-0.002978303,Nacional,1
01/07/2013,2013,7,julio,0.031564266,-0.006952262,0.005147086,Nacional,1
01/08/2013,2013,8,agosto,-0.006005687,-0.000240501,0.005158797,Nacional,1
01/09/2013,2013,9,septiembre,-0.016284883,-0.002624829,0.002375484,Nacional,1
01/10/2013,2013,10,octubre,-0.014867425,-0.007567722,0.007967008,Nacional,1
01/11/2013,2013,11,noviembre,-0.002862272,-0.010997266,0.005644121,Nacional,1
01/12/2013,2013,12,diciembre,0.008076546,-0.008708217,-0.035880333,Nacional,1
01/01/2014,2014,1,enero,-0.019055677,-0.00579021,-0.022772569,Nacional,1
01/02/2014,2014,2,febrero,-0.005772234,-0.015212886,0.010063977,Nacional,1
01/03/2014,2014,3,marzo,0.010092534,-0.010512518,0.020882764,Nacional,1
01/04/2014,2014,4,abril,-0.00356632,-0.004607254,0.001348018,Nacional,1
01/05/2014,2014,5,mayo,0.004331755,-0.005779974,0.019269906,Nacional,1
01/06/2014,2014,6,junio,0.010798536,-0.002723463,0.015493526,Nacional,1
01/07/2014,2014,7,julio,0.006371358,-0.002442866,0.014811317,Nacional,1
01/08/2014,2014,8,agosto,0.020123158,-0.010226845,0.014377871,Nacional,1
01/09/2014,2014,9,septiembre,0.017008158,-0.006345734,0.012977189,Nacional,1
01/10/2014,2014,10,octubre,0.023462223,-0.006609298,0.030535666,Nacional,1
01/11/2014,2014,11,noviembre,0.025440665,9.28E-06,0.005267746,Nacional,1
01/12/2014,2014,12,diciembre,0.029575941,-0.003517758,0.013794394,Nacional,1
01/01/2015,2015,1,enero,0.053451215,0.005901861,0.023808359,Nacional,1
01/02/2015,2015,2,febrero,0.044532729,0.018833012,0.024736983,Nacional,1
01/03/2015,2015,3,marzo,0.051982323,0.005268058,0.025340069,Nacional,1
01/04/2015,2015,4,abril,0.035735832,0.006478078,0.043755888,Nacional,1
01/05/2015,2015,5,mayo,0.036719054,0.00865595,0.03111633,Nacional,1
01/06/2015,2015,6,junio,0.056131542,0.014829886,0.035701309,Nacional,1
01/07/2015,2015,7,julio,0.055346578,0.015928933,0.050040077,Nacional,1
